Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm);Amostra;Site;Latitude;Longitude;Data;Aluno
Iris virginica;6.7;3.3;5.7;2.1;A125;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.1;3;4.9;1.8;A128;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;7.4;2.8;6.1;1.9;A131;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.3;2.8;5.1;1.5;A134;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.3;3.4;5.6;2.4;A137;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.9;3.1;5.4;2.1;A140;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;5.8;2.7;5.1;1.9;A143;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.7;3;5.2;2.3;A146;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;6.2;3.4;5.4;2.3;A149;Site2;48.540.502;-64.766.512;13/02/1930;Wendel
Iris virginica;7.1;3;5.9;2.1;A103;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;7.6;3;6.6;2.1;A106;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.7;2.5;5.8;1.8;A109;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.4;2.7;5.3;1.9;A112;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;5.8;2.8;5.1;2.4;A115;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;7.7;3.8;6.7;2.2;A118;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.9;3.2;5.7;2.3;A121;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.3;2.7;4.9;1.8;A124;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.2;2.8;4.8;1.8;A127;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;7.2;3;5.8;1.6;A130;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.4;2.8;5.6;2.2;A133;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;7.7;3;6.1;2.3;A136;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6;3;4.8;1.8;A139;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.9;3.1;5.1;2.3;A142;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.7;3.3;5.7;2.5;A145;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
Iris virginica;6.5;3;5.2;2;A148;Site3;48.329.837;-65.512.333;01/12/1929;Wendel
